ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2015-01-01,23.500324,8.261032172189875,23.746059735842262,23.500324,23.500324,-7.331986189702816,-7.331986189702816,-7.331986189702816,-0.30328524799278933,-0.30328524799278933,-0.30328524799278933,-7.028700941710027,-7.028700941710027,-7.028700941710027,0.0,0.0,0.0,16.16833781029718
2015-01-02,23.504897948858446,10.509932737001476,25.65743954242233,23.504897948858446,23.504897948858446,-5.326498350058277,-5.326498350058277,-5.326498350058277,1.750331312021132,1.750331312021132,1.750331312021132,-7.076829662079409,-7.076829662079409,-7.076829662079409,0.0,0.0,0.0,18.17839959880017
2015-01-03,23.509471897716896,11.725603609165624,27.406074603566974,23.509471897716896,23.509471897716896,-3.708681996612051,-3.708681996612051,-3.708681996612051,3.4283246998592,3.4283246998592,3.4283246998592,-7.137006696471251,-7.137006696471251,-7.137006696471251,0.0,0.0,0.0,19.800789901104846
2015-01-04,23.514045846575343,13.018284483595917,28.8133286549464,23.514045846575343,23.514045846575343,-2.701615499381858,-2.701615499381858,-2.701615499381858,4.506004019543846,4.506004019543846,4.506004019543846,-7.207619518925704,-7.207619518925704,-7.207619518925704,0.0,0.0,0.0,20.812430347193484
2015-01-05,23.51861979543379,3.1092296317381423,18.590615158826616,23.51861979543379,23.51861979543379,-12.541875875607163,-12.541875875607163,-12.541875875607163,-5.255168164750755,-5.255168164750755,-5.255168164750755,-7.286707710856408,-7.286707710856408,-7.286707710856408,0.0,0.0,0.0,10.976743919826626
2015-01-06,23.523193744292236,6.0605384568942196,22.140635450792352,23.523193744292236,23.523193744292236,-9.384282642184655,-9.384282642184655,-9.384282642184655,-2.0122537273640644,-2.0122537273640644,-2.0122537273640644,-7.372028914820591,-7.372028914820591,-7.372028914820591,0.0,0.0,0.0,14.138911102107581
2015-01-07,23.527767693150683,6.401397980034939,22.02020558190339,23.527767693150683,23.527767693150683,-9.575083563744432,-9.575083563744432,-9.575083563744432,-2.113952891329207,-2.113952891329207,-2.113952891329207,-7.461130672415225,-7.461130672415225,-7.461130672415225,0.0,0.0,0.0,13.95268412940625
2015-01-08,23.53234164200913,8.241851739212654,23.429219505676052,23.53234164200913,23.53234164200913,-7.8547113493045675,-7.8547113493045675,-7.8547113493045675,-0.3032852479960524,-0.3032852479960524,-0.3032852479960524,-7.5514261013085155,-7.5514261013085155,-7.5514261013085155,0.0,0.0,0.0,15.677630292704562
2015-01-09,23.53691559086758,9.965441598600988,25.237346002313956,23.53691559086758,23.53691559086758,-5.889939988417896,-5.889939988417896,-5.889939988417896,1.7503313120130943,1.7503313120130943,1.7503313120130943,-7.640271300430991,-7.640271300430991,-7.640271300430991,0.0,0.0,0.0,17.646975602449682
2015-01-10,23.541489539726026,11.519986576076128,26.90194840782401,23.541489539726026,23.541489539726026,-4.296717664044778,-4.296717664044778,-4.296717664044778,3.428324699868794,3.428324699868794,3.428324699868794,-7.725042363913572,-7.725042363913572,-7.725042363913572,0.0,0.0,0.0,19.24477187568125
2015-01-11,23.546063488584473,13.160642317227294,28.025357981631227,23.546063488584473,23.546063488584473,-3.2972059134525886,-3.2972059134525886,-3.2972059134525886,4.506004019540906,4.506004019540906,4.506004019540906,-7.803209932993495,-7.803209932993495,-7.803209932993495,0.0,0.0,0.0,20.248857575131883
